Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1907,-.38,-.46,-.29,-.57,-.30,-.29,-.57,-.69,-.50,-.30,-.30,-.20,-.37,-1.18
1908,-.42,-.45,-.40,-.47,-.44,-.35,-.24,-.52,-.50,-.42,-.46,-.28,-.48,.69
1909,-.48,-.48,-.47,-.52,-.48,-.44,-.74,-.59,-.42,-.43,-.52,-.37,-.52,-.55
1910,-.43,-.43,-.42,-.40,-.48,-.38,-.57,-.22,-.48,-.47,-.49,-.32,-.45,.18
1911,-.43,-.41,-.45,-.41,-.41,-.48,-.27,-.40,-.46,-.41,-.41,-.43,-.53,.07
1912,-.35,-.45,-.24,-.58,-.17,-.36,-.50,-.77,-.49,-.26,-.08,-.36,-.29,-1.61
1913,-.34,-.41,-.26,-.43,-.27,-.34,-.49,-.31,-.49,-.39,-.14,-.28,-.40,-1.02
1914,-.15,-.18,-.10,-.23,-.06,-.18,-.35,-.15,-.27,-.10,-.01,-.15,-.18,-.35
1915,-.13,-.13,-.13,-.22,.00,-.22,-.59,-.15,-.17,.00,-.01,-.15,-.23,-1.96
1916,-.35,-.41,-.30,-.35,-.44,-.22,-.44,-.53,-.23,-.49,-.39,-.22,-.17,-1.03
1917,-.45,-.57,-.35,-.49,-.63,-.18,-.81,-.48,-.42,-.69,-.57,-.22,-.09,.08
1918,-.29,-.39,-.19,-.39,-.33,-.13,-1.00,-.25,-.33,-.38,-.28,-.05,-.23,-.26
1919,-.27,-.34,-.20,-.42,-.20,-.22,-.69,-.54,-.29,-.23,-.16,-.14,-.32,.22
1920,-.27,-.30,-.23,-.24,-.25,-.32,.00,-.19,-.34,-.38,-.12,-.18,-.48,-1.12
1921,-.18,-.10,-.26,.03,-.25,-.30,.03,.18,-.08,-.30,-.20,-.22,-.38,-.82
1922,-.28,-.27,-.29,-.23,-.32,-.27,-.29,-.40,-.12,-.32,-.31,-.24,-.29,-.26
1923,-.26,-.21,-.30,-.14,-.29,-.33,.19,-.14,-.25,-.32,-.27,-.26,-.41,-.53
1924,-.27,-.18,-.35,-.12,-.25,-.43,.47,-.24,-.22,-.27,-.24,-.39,-.45,-.51
1925,-.22,-.13,-.29,-.03,-.23,-.37,-.07,.19,-.17,-.28,-.19,-.24,-.55,-.84
1926,-.10,.02,-.21,.03,.02,-.40,.57,.17,-.21,.00,.04,-.34,-.45,-.62
1927,-.21,-.13,-.29,-.12,-.16,-.38,.02,-.21,-.12,-.15,-.17,-.30,-.45,-1.36
1928,-.20,-.10,-.29,-.06,-.15,-.39,.71,-.16,-.22,-.15,-.15,-.28,-.48,-2.10
1929,-.36,-.33,-.37,-.37,-.27,-.45,.15,-.61,-.37,-.28,-.27,-.42,-.44,-1.06
1930,-.16,-.01,-.29,.05,-.11,-.42,.54,.05,-.10,-.10,-.12,-.32,-.47,-2.58
1931,-.09,.05,-.21,.02,.08,-.42,.57,-.03,-.13,.10,.05,-.41,-.40,-.39
1932,-.16,-.05,-.26,.04,-.17,-.34,.49,.20,-.20,-.19,-.15,-.20,-.53,-.97
1933,-.29,-.25,-.32,-.23,-.29,-.34,-.16,-.46,-.12,-.29,-.28,-.21,-.48,-1.13
1934,-.12,.00,-.25,.18,-.25,-.26,.88,.31,-.12,-.26,-.24,-.15,-.38,-.55
1935,-.20,-.09,-.30,-.04,-.18,-.37,.35,-.04,-.16,-.17,-.20,-.30,-.41,-1.70
1936,-.15,-.03,-.26,-.02,-.13,-.30,.40,.11,-.25,-.05,-.21,-.26,-.33,-.02
1937,-.03,.12,-.17,.20,-.05,-.22,1.24,.03,-.02,.00,-.10,-.19,-.26,.38
1938,.00,.16,-.18,.39,-.23,-.10,1.51,.39,.03,-.18,-.27,-.06,-.11,-.85
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.11,-.14,-.04,-.19,-1.58
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.27,.29,.03,-.20,-.04
1941,.18,.23,.16,.01,.49,-.05,.01,-.10,.09,.54,.43,.04,-.15,-.45
1942,.07,.13,.00,.13,.07,-.01,.73,-.06,.07,.11,.03,.06,-.05,-.88
1943,.09,.18,-.01,.38,-.09,.04,1.42,.28,.11,-.11,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.10,.10,.26,.19,-.10,-.92
1945,.09,.10,.09,.11,.16,-.03,.63,-.03,.05,.09,.24,.04,.00,-1.75
1946,-.07,.03,-.17,.07,-.05,-.24,-.03,-.05,.17,-.03,-.08,-.22,-.24,-.14
1947,-.03,.08,-.13,.16,-.07,-.16,1.07,-.13,.05,-.04,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.19,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.35
1949,-.11,-.03,-.19,.12,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.20,-.05,-.29,-.14,.20,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.09,.01,.12,-.01,-.12,-.21,-.16,-.69
1952,.01,.06,-.03,.11,.01,-.09,.27,-.09,.19,-.01,.04,-.09,-.02,-.48
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.79
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.13,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.16,.15,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.07,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,.00,-.24,-.14,.11
1967,-.02,.03,-.07,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.06,-.09,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.08
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.43
1972,.01,-.17,.20,-.34,.16,.14,-.37,-.47,-.24,.07,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.15,.10,.39,-.05,-.31,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.08,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.08,.16,-.16,.03,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.06,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.29,.35,.37,.58
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.15,.28,.38,.61
1982,.14,.06,.23,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.44,.24,.19,.69,-.07,.30,.58,.21,.41,.04
1984,.16,.04,.28,.02,.19,.26,.36,.08,-.13,.08,.30,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.23,.19,.01,.28,.03,.18,.27,.25,.25,-.11
1987,.32,.25,.40,.04,.59,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.24,.33,.42,.38,.20,.86
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.07,.19,.36,.30,.34
1990,.45,.53,.37,.63,.37,.37,.59,.88,.49,.38,.36,.37,.37,.37
1991,.41,.41,.40,.47,.37,.39,.76,.66,.26,.33,.41,.31,.29,.96
1992,.22,.14,.31,.10,.28,.26,-.16,.44,-.03,.20,.37,.20,.32,.38
1993,.23,.19,.28,.13,.32,.22,.55,.29,-.11,.29,.36,.26,.39,-.30
1994,.32,.37,.26,.43,.31,.20,.34,.50,.42,.29,.34,.26,.23,-.06
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.32,.41,.45,.29,.15,.15
1996,.33,.27,.39,.23,.32,.43,.78,.17,.10,.31,.32,.33,.28,1.20
1997,.46,.52,.41,.54,.51,.33,.77,.90,.23,.50,.52,.42,.36,-.01
1998,.61,.71,.52,.78,.69,.33,.86,.94,.66,.60,.79,.39,.31,.15
1999,.38,.48,.28,.70,.20,.30,.41,.80,.74,.16,.25,.46,.19,.04
2000,.39,.50,.29,.70,.24,.29,.98,.80,.55,.21,.28,.41,.10,.27
2001,.54,.64,.43,.81,.42,.43,1.07,.86,.68,.40,.44,.58,.24,.32
2002,.63,.71,.54,.83,.59,.47,1.26,1.00,.58,.55,.64,.49,.31,.77
2003,.62,.75,.50,.84,.64,.37,1.50,.99,.54,.61,.67,.44,.24,.44
2004,.54,.66,.42,.73,.55,.33,.47,.96,.66,.56,.54,.48,.23,.04
2005,.68,.86,.50,1.02,.62,.42,1.99,1.23,.57,.62,.62,.49,.18,.70
2006,.64,.82,.47,.99,.56,.40,1.74,1.06,.70,.57,.55,.51,.19,.48
2007,.67,.86,.48,1.13,.46,.48,2.13,1.32,.69,.45,.48,.50,.07,1.28
2008,.55,.68,.41,.92,.38,.40,1.55,1.08,.62,.33,.42,.53,.08,.62
2009,.66,.73,.60,.78,.68,.51,1.43,.60,.69,.65,.71,.60,.14,1.01
2010,.72,.90,.55,1.03,.68,.47,2.23,.87,.74,.72,.65,.63,.20,.49
2011,.61,.75,.47,.99,.37,.54,2.36,.94,.58,.39,.35,.64,.18,1.01
2012,.65,.82,.48,1.05,.53,.41,2.23,.93,.74,.48,.57,.56,.19,.33
2013,.68,.80,.56,.96,.58,.54,1.56,1.05,.70,.58,.58,.63,.22,.91
2014,.75,.92,.58,1.08,.67,.52,2.05,1.14,.74,.69,.65,.72,.18,.56
2015,.90,1.18,.63,1.33,.96,.40,2.01,1.49,1.01,.98,.95,.75,.18,-.35
2016,1.02,1.31,.73,1.55,1.02,.49,3.26,1.44,1.08,.96,1.07,.67,.25,.37
2017,.93,1.18,.67,1.40,.82,.59,2.54,1.38,1.05,.87,.78,.76,.34,.52
2018,.85,1.05,.66,1.26,.68,.68,2.17,1.10,1.06,.73,.63,.80,.37,.93
2019,.99,1.22,.75,1.43,.91,.65,2.72,1.44,1.01,.91,.90,.75,.39,.85
2020,1.02,1.36,.69,1.68,.87,.57,2.91,1.82,1.20,.89,.85,.58,.39,.91
